gene	log2FC
VEGFA	1.713
JUN	-3.804
MAPK3	-4.795
BRAF	2.848
BRCA1	1.947
TERT	3.792
BRCA1	2.794
RB1	-4.577
JAK2	-2.836
TNF	3.363
HRAS	0.875
IL10	1.721
JUN	-4.047
IL6	0.656
CDKN1B	3.237
KIT	-0.468
PCNA	-3.12
VHL	4.092
JUN	4.791
IL6	-4.393
BRCA2	1.233
SMAD4	4.527
KRAS	-0.849
EGFR	0.234
CCNE1	0.136
KRAS	-4.529
EGFR	-1.467
MAPK1	2.361
PCNA	-3.04
NRAS	1.337
APC	-0.496
FGFR3	-1.544
TERT	-0.032
PIK3CA	-2.487
STAT3	0.167
SHC1	4.471
MAPK3	-3.945
PIK3CA	-3.965
MKI67	-3.181
E2F2	4.105
FOS	2.99
SOS1	1.907
IL10	-3.919
SYK	-2.647
RB1	-0.685
NOTCH1	3.069
CCND1	0.83
ERBB2	-1.031
CXCL8	-2.726
MAPK3	3.274
LCK	1.723
MAP2K1	-4.882
FGFR3	-0.931
JAK2	3.678
FGFR2	4.191
SMAD4	-0.316
BRCA2	4.721
SRC	-1.284
FGFR1	4.417
SMAD4	-3.03
PIK3CA	-0.763
GATA3	-3.869
BRAF	3.884
IL6	-2.838
CXCL8	-3.984
CCND1	-4.693
CDKN2A	-0.571
MAP2K1	3.65
BRAF	-4.42
PTEN	0.566
RB1	2.722
SRC	-4.11
APC	2.126
MYC	-1.618
KRAS	-1.809
CDK6	2.929
SOS1	-2.435
LCK	-2.25
APC	-0.828
JUN	4.78
BRCA2	0.562
PIK3CA	1.913
MAP2K2	3.237
CDH1	-3.875
TP53	4.79
BRAF	-2.415
NFKB1	3.795
MAP2K1	3.241
MAP2K2	3.186
FOS	-2.872
TP53	-3.181
REL	1.001
CCNE1	-2.676
FGFR2	-1.095
PIK3CA	4.814
CDK2	-1.71
RB1	-4.143
TP53	0.131
CDKN1B	0.886
STAT3	-2.46
GRB2	-0.933
PTEN	1.582
GRB2	3.778
MAP2K1	4.617
BRCA2	3.746
NRAS	-2.339
REL	0.497
IL6	0.541
FOS	3.657
CCNE1	0.09
SYK	-0.256
JUN	-1.599
TP53	-0.101
MDM2	0.551
CDK2	-0.754
BRCA2	-2.836
E2F1	-3.02
CDKN1A	0.092
IL6	-3.904
SYK	2.501
SRC	-3.534
GRB2	4.021
KRAS	1.103
LCK	1.831
E2F1	-2.518
E2F1	-0.437
MAPK3	-2.878
LCK	-4.109
MET	-4.116
ERBB2	-4.23
CCND1	-4.052
NRAS	-0.787
BRCA1	-1.241
CDK4	4.967
CDK2	-3.552
ABL1	-3.452
FOS	0.39
CDKN1B	2.325
VEGFA	0.934
RAF1	0.752
MAPK1	1.264
GRB2	2.543
BRCA1	-4.213
REL	-3.656
FGFR1	-4.236
CDKN1A	2.258
SYK	-4.711
STAT3	-1.29
JAK2	-3.143
SYK	1.762
SHC1	0.772
JAK2	-0.6
MYC	-0.488
NFKB1	1.506
FOS	1.384
MAPK1	-1.331
BRAF	4.041
CDKN1A	-2.898
MYC	-3.417
TERT	-2.219
CDK6	4.893
SOS1	-1.265
PIK3CA	-2.727
E2F1	1.986
LCK	3.417
AKT1	2.698
CDKN2A	3.375
RAF1	1.94
VEGFA	0.756
E2F2	-1.575
NFKB1	-0.333
JUN	-1.569
SYK	4.599
JAK2	4.611
IL10	2.626
MAP2K2	1.297
LCK	-3.983
HRAS	3.854
CDK4	0.466
VHL	1.59
MAPK1	1.857
EGFR	-0.466
MAP2K2	-1.04
NRAS	-2.169
CCND1	-1.047
SRC	3.18
NRAS	-4.636
MET	-1.616
LCK	1.892
BRCA2	-3.264
SOS1	1.212
SMAD4	-1.661
RB1	-3.627
NOTCH1	1.062
MAPK1	-4.572
PDGFRA	-4.22
TP53	-1.021
LCK	3.957
GATA3	-3.007
SHC1	-2.628
BRCA1	4.979
FGFR3	-1.321
CDKN1A	-0.029
VHL	4.063
IL6	2.527
RB1	3.658
APC	-0.664
PIK3CA	-0.873
BRCA2	3.757
MDM2	0.311
BRAF	0.415
EGFR	-0.152
SMAD4	-1.543
CDK6	-2.578
CDKN2A	2.391
RAF1	-3.852
SMAD4	-4.697
JUN	-2.625
PCNA	0.829
CCND1	-4.515
SYK	-0.25
GATA3	2.138
LCK	-1.035
SMAD4	-2.286
MET	-0.506
IL10	3.241
CDK4	3.565
RAF1	-4.267
IL10	3.064
TNF	-0.139
SMAD4	-0.325
JAK2	2.054
E2F1	-0.719
RB1	1.627
PIK3CA	-3.402
MAPK1	1.693
MAPK3	-0.023
CDK2	-2.738
NOTCH1	-2.652
KIT	4.56
TP53	-3.364
SYK	2.594
FOS	1.87
PTEN	-3.987
APC	1.494
CDH1	-0.153
RB1	-4.686
MAP2K2	-1.011
GATA3	-2.036
HIF1A	1.607
TERT	-3.244
E2F2	-1.735
TNF	2.692
CCNE1	2.808
TP53	3.454
LCK	1.092
MDM2	-1.738
JUN	-0.486
PTEN	2.693
CDK4	3.484
HRAS	-4.094
MAPK3	-1.219
SHC1	-2.47
CDH1	-2.352
PCNA	-0.807
ABL1	-3.941
EGFR	-1.474
FOS	-3.888
IL6	-0.387
NRAS	3.378
IL6	-1.577
ERBB2	3.927
IL10	4.699
MYC	1.159
BRAF	0.844
MDM2	-2.078
AKT1	2.614
CDK4	-3.826
SRC	-2.465
SHC1	-0.369
VHL	0.023
CDK2	-3.596
CCNE1	-3.947
NFKB1	-4.621
MAPK3	-3.683
FGFR3	-1.565
E2F2	-0.422
BRCA1	-3.939
HRAS	-2.522
MAP2K2	2.442
MET	-3.321
KRAS	3.667
AKT1	-0.277
PIK3CA	2.72
CDKN1A	-2.79
FGFR1	3.646
FGFR2	3.773
REL	0.603
MAP2K2	1.622
CXCL8	1.667
REL	-3.553
SYK	3.697
CXCL8	-3.848
MDM2	-1.043
KIT	3.126
MYC	-3.257
IL6	3.98
CDK4	-1.561
KRAS	4.75
MAP2K2	2.76
BRCA2	-2.874
PDGFRA	4.961
JUN	-1.264
SRC	1.015
CDKN2A	0.018
CDKN1A	-0.677
SHC1	3.231
RB1	3.5
FOS	-4.276
AKT1	-0.945
TP53	-4.484
IL10	0.818
CXCL8	-2.905
MET	-4.211
JAK2	1.118
CDK6	-1.233
PTEN	-3.119
ERBB2	-4.716
ABL1	-1.042
E2F2	4.672
SHC1	-1.118
LCK	1.336
MAPK1	1.747
TERT	-1.933
HIF1A	-4.416
CDKN2A	-2.631
E2F2	4.854
TP53	-3.714
VHL	-4.652
CDK4	-3.303
REL	4.301
ABL1	1.282
BRCA2	-3.963
NRAS	3.187
CDH1	-1.527
E2F2	2.465
SRC	4.029
CCNE1	-0.8
STAT3	-2.53
VHL	-4.806
AKT1	-1.909
GRB2	-3.953
CDK4	-2.733
HRAS	3.36
MKI67	2.286
FGFR3	4.71
NOTCH1	2.095
NOTCH1	-2.579
KRAS	-0.092
AKT1	-4.92
FGFR2	1.893
PIK3CA	0.145
SOS1	4.805
REL	-1.288
CDKN1B	0.766
E2F2	-4.578
TERT	-0.819
MYC	4.386
SMAD4	-0.319
NFKB1	2.383
MDM2	4.893
JUN	-2.089
E2F2	1.363
BRCA2	3.988
PDGFRA	1.688
FGFR3	2.816
MAPK3	3.239
CDK6	2.375
NRAS	2.371
KRAS	-4.334
E2F2	-3.045
GATA3	4.213
BRAF	1.683
BRCA2	0.34
CXCL8	-4.469
FGFR1	-1.213
VHL	4.077
MYC	-0.596
KIT	1.816
FGFR2	3.957
CDKN1B	-4.645
SHC1	3.077
RAF1	-2.402
CDKN1A	-4.514
KIT	-0.23
SMAD4	-3.574
SRC	0.774
ERBB2	0.915
LCK	-1.946
RB1	1.17
HRAS	2.291
SOS1	-1.83
MAPK3	-2.943
RAF1	2.457
IL6	0.642
CDK4	2.829
BRAF	2.2
SHC1	-0.334
E2F2	3.567
JUN	-1.659
CCND1	4.85
TP53	-4.897
FOS	-3.371
FGFR1	-0.563
SOS1	1.595
AKT1	0.342
FGFR2	3.875
BRCA1	4.69
MAPK1	-3.06
VHL	-4.896
FOS	-3.769
EGFR	-4.393
FGFR2	-3.353
MAP2K2	-2.529
MKI67	-4.999
PDGFRA	-4.266
BRAF	1.159
PCNA	3.256
CCNE1	3.575
MDM2	1.256
BRCA1	-4.716
CDKN1A	-3.346
CDK4	-2.504
ABL1	-1.29
TERT	-1.239
MAPK1	-4.107
SMAD4	0.16
CDH1	2.298
E2F2	1.094
MET	-4.755
CDH1	-2.389
IL6	-3.477
IL6	-1.654
SHC1	-1.531
HIF1A	-1.801
LCK	-0.634
PCNA	-1.668
HRAS	1.127
CXCL8	2.671
TERT	1.252
CDKN1A	3.507
SYK	1.485
MET	1.603
BRCA2	3.683
CDKN1A	-3.442
TERT	0.935
CDH1	-4.421
VEGFA	0.977
ABL1	-0.432
JUN	4.09
MAP2K1	-3.735
JAK2	1.364
E2F2	3.501
SYK	-3.707
AKT1	-4.701
SRC	2.325
SHC1	-2.844
TP53	4.452
JAK2	-0.244
BRCA1	-1.034
RAF1	1.216
FGFR2	-4.03
APC	-0.055
ERBB2	3.709
PTEN	0.75
PTEN	-3.372
PIK3CA	4.894
TP53	3.974
CDK4	4.239
CCND1	3.91
FGFR2	4.722
GRB2	-2.13
ABL1	0.169
SYK	-1.947
GATA3	-0.288
MAP2K1	2.547
SHC1	3.997
AKT1	3.793
VEGFA	3.908
CDKN1A	-3.466
ABL1	4.368
JUN	2.06
E2F2	-0.848
MAP2K2	4.6
CCNE1	0.915
ERBB2	-4.657
PIK3CA	-0.677
LCK	0.865
TP53	1.969
BRCA2	2.535
ERBB2	-3.921
AKT1	0.548
PDGFRA	2.49
MAP2K1	0.466
HIF1A	3.795
APC	3.16
SMAD4	4.323
VHL	3.112
JAK2	4.319
NRAS	2.339
NRAS	-4.643
AKT1	-4.182
MAPK1	-4.962
CDK4	-2.972
REL	-1.661
CDKN2A	4.185
CCNE1	1.224
PTEN	-2.976
FGFR3	-4.417
BRCA2	2.379
JUN	-3.692
KIT	1.843
BRAF	-4.921
IL10	4.68
FGFR1	-0.948
VEGFA	-0.033
TP53	1.948
CCND1	-1.605
PIK3CA	0.756
IL6	2.75
PCNA	-0.736
MDM2	-1.266
JUN	-0.961
FGFR1	-1.581
NFKB1	0.494
MYC	0.567
CDK2	4.519
GRB2	3.562
CDH1	-4.928
CDKN2A	-1.196
CDK6	4.561
IL6	3.028
CDK6	2.361
PDGFRA	-3.294
FGFR1	1.495
EGFR	3.049
CDH1	-2.925
TERT	-3.508
CCNE1	4.839
PCNA	1.768
NRAS	3.701
HIF1A	0.356
CDK6	-4.953
CDKN1A	-1.169
TERT	-2.535
CDK6	-1.204
CDKN2A	3.107
KRAS	0.508
REL	0.792
MAPK1	-0.078
STAT3	3.865
LCK	-1.906
TERT	0.226
CDK4	-0.124
RAF1	0.977
TERT	-4.951
FGFR1	-4.39
BRCA1	4.692
MAP2K1	-3.275
CDH1	1.509
E2F1	4.226
E2F2	4.582
PCNA	-3.601
CDK4	0.757
CDKN1B	-1.997
SRC	2.133
SOS1	-1.515
HIF1A	-2.343
GRB2	-4.856
JAK2	-0.604
E2F2	2.553
CDKN1B	3.078
MAPK3	3.092
VEGFA	-2.63
MYC	3.967
E2F1	-0.648
SOS1	0.966
MAP2K1	3.563
MET	4.849
MDM2	-3.714
KIT	-4.229
KRAS	1.791
BRCA2	4.336
JAK2	-1.161
KRAS	4.286
ABL1	2.001
BRAF	-0.998
HIF1A	2.002
CDKN2A	-4.683
SRC	4.824
HIF1A	0.975
REL	4.964
SHC1	0.61
SHC1	-3.712
LCK	-2.974
RB1	2.086
NOTCH1	-4.424
LCK	-1.675
MAPK1	1.696
MAPK3	-0.653
MAPK3	3.326
PCNA	-1.906
PCNA	1.476
NRAS	-1.377
PIK3CA	3.007
BRAF	1.634
RAF1	1.474
EGFR	-1.201
MYC	-4.972
VEGFA	3.966
HRAS	3.319
REL	1.161
CDKN1A	-4.102
LCK	-1.904
TERT	3.49
KRAS	2.326
FGFR2	-4.376
CCNE1	-3.647
NFKB1	-1.666
MAPK3	-3.361
KIT	2.777
CDK6	-0.727
MAPK3	-2.828
PDGFRA	-3.753
FGFR3	0.591
PCNA	-3.652
MKI67	-2.28
ERBB2	3.823
PDGFRA	3.933
FGFR1	-0.868
ABL1	-0.645
VHL	-2.818
GRB2	-0.505
FGFR2	-2.976
KIT	0.416
ABL1	2.167
PDGFRA	-3.137
JAK2	-3.01
CDKN1A	-4.408
MAPK1	-2.073
BRCA1	1.25
RAF1	2.209
FGFR1	4.258
CDH1	-0.124
FOS	3.304
CDK6	-2.086
E2F2	-4.934
JAK2	-0.127
CDKN1A	-2.38
CCND1	1.118
STAT3	0.429
TNF	-1.114
CDH1	1.896
SRC	-4.069
MKI67	-0.515
PCNA	-2.98
BRCA1	-3.454
CDK6	1.136
SRC	0.273
VEGFA	-1.005
JUN	4.945
KRAS	0.794
CDH1	-4.895
SYK	-0.232
MET	1.87
SYK	-3.4
SMAD4	-4.829
LCK	0.232
SYK	-4.976
SRC	4.871
SMAD4	-1.788
TNF	-4.549
BRCA1	4.756
E2F1	-2.369
BRCA1	0.776
KIT	-0.92
STAT3	-1.666
GATA3	0.979
JUN	-3.596
CDK2	-3.429
REL	-1.716
E2F2	-3.504
E2F2	-4.79
PDGFRA	4.623
CDH1	0.238
BRCA1	-4.077
NFKB1	2.102
CDKN1A	0.139
FGFR3	4.111
IL6	0.691
E2F2	0.507
TNF	4.621
HRAS	0.061
MDM2	-2.563
LCK	4.684
HIF1A	-1.178
SOS1	-3.737
TP53	-3.074
ABL1	-2.155
BRCA1	3.491
TP53	4.51
SMAD4	4.402
TERT	-4.365
VEGFA	-3.055
CDKN1A	3.513
RAF1	-0.263
CDKN1A	1.302
BRCA2	-4.773
SYK	-2.626
RB1	-1.872
PDGFRA	-3.175
PTEN	3.912
STAT3	2.424
CCND1	3.641
JUN	-0.115
GATA3	-0.058
CDK2	-1.898
BRAF	1.352
CCND1	1.749
SMAD4	-3.863
TNF	2.949
GRB2	-2.798
TERT	-0.415
CDH1	2.319
IL10	1.843
CDK2	1.326
RAF1	-0.431
MAP2K2	0.03
MAP2K1	0.561
SRC	4.026
FGFR1	3.355
SMAD4	-1.237
SOS1	-2.72
LCK	-1.11
MET	-2.077
HIF1A	-4.253
RAF1	-3.572
SOS1	-4.524
E2F2	1.025
HRAS	1.133
NFKB1	4.246
PDGFRA	4.23
CDK6	-3.057
PDGFRA	3.368
SHC1	3.009
CXCL8	0.166
MYC	1.573
MAP2K1	-2.603
RB1	-4.423
TP53	0.778
RB1	-3.265
LCK	-3.29
MDM2	2.685
ERBB2	-2.851
NOTCH1	-3.984
BRCA1	1.43
EGFR	1.657
REL	0.305
E2F2	-2.647
NOTCH1	3.965
SRC	4.151
VHL	-1.425
JUN	-0.511
APC	-2.34
CDKN2A	-4.547
MAP2K2	0.749
NFKB1	-4.488
CDK2	3.043
PIK3CA	0.53
MET	-3.428
FGFR3	4.92
CCND1	2.803
APC	-2.464
CDK2	0.389
REL	4.534
IL10	-4.87
PCNA	-1.701
KRAS	4.934
NFKB1	1.577
MET	-0.206
MDM2	3.333
PDGFRA	-3.306
PTEN	4.638
HIF1A	-3.614
MDM2	2.386
JAK2	3.781
FGFR3	3.658
KIT	1.466
SYK	-0.412
FGFR1	2.546
BRAF	1.72
NRAS	3.174
PIK3CA	2.475
GATA3	1.793
CCND1	3.01
BRCA2	-1.662
HIF1A	0.928
TNF	-1.3
CDK2	-2.781
CXCL8	-4.677
IL10	-0.691
SOS1	-4.48
E2F2	3.921
FOS	3.996
HRAS	3.415
MAPK1	-4.837
BRAF	-4.114
BRCA2	-1.745
EGFR	0.6
SHC1	0.991
ABL1	0.746
REL	-2.533
IL10	3.766
FGFR3	-3.781
FOS	-2.333
E2F1	2.137
MAPK1	-0.944
MAPK3	-2.884
MYC	2.412
CDKN2A	-2.318
E2F1	-4.788
TP53	2.671
CDKN2A	-0.001
CDH1	-2.323
BRCA1	-3.385
TERT	-0.432
STAT3	-0.162
IL6	-2.752
ABL1	4.238
SMAD4	4.411
NOTCH1	0.827
FOS	4.547
FGFR1	-2.1
IL6	4.605
E2F1	-2.941
MKI67	2.008
NRAS	-3.563
VHL	-0.798
CDK6	4.543
IL10	1.488
PIK3CA	1.606
SHC1	2.479
CDK6	3.894
SOS1	1.961
GATA3	0.736
BRCA2	-1.654
BRCA2	-4.885
STAT3	-2.85
SYK	1.146
FOS	3.476
APC	-4.213
MDM2	4.245
BRCA2	1.893
PCNA	2.886
MYC	1.963
MAP2K1	-1.906
JUN	1.327
MYC	2.258
E2F2	-4.414
TP53	-3.33
VHL	-2.411
CDH1	-4.16
JUN	0.88
CDK6	-1.222
LCK	1.643
IL6	3.242
HIF1A	4.404
GATA3	4.292
NOTCH1	2.103
E2F1	-0.178
NFKB1	-4.482
CDK6	3.754
CDK4	-4.401
HIF1A	-4.251
SRC	-4.682
PIK3CA	-2.644
TERT	-2.132
TP53	1.977
NFKB1	-1.036
MET	1.452
FOS	0.484
PTEN	-3.273
BRCA1	-4.028
SYK	2.409
MYC	-3.236
KIT	-4.478
MKI67	-2.014
MYC	2.991
PIK3CA	2.757
CDK2	0.481
FGFR2	-3.226
SRC	-1.338
TERT	-1.715
PDGFRA	0.979
NFKB1	-4.834
MYC	4.341
MAPK1	-1.175
MET	-4.68
SRC	-2.054
IL6	2.22
BRCA2	-0.548
TNF	-3.336
ERBB2	-4.074
MAP2K2	-4.646
PDGFRA	3.97
EGFR	0.188
STAT3	4.701
TNF	0.153
PIK3CA	-3.651
REL	-1.606
SMAD4	0.023
TERT	3.345
RAF1	-1.862
E2F2	0.917
CDKN1B	-3.538
REL	1.609
CDK2	3.265
RAF1	-3.582
NOTCH1	-0.19
HRAS	2.457
FGFR3	-1.578
KRAS	2.063
FGFR3	3.178
BRCA2	3.913
NFKB1	-3.526
MDM2	-1.252
CDK6	-1.349
E2F1	-3.57
SMAD4	0.846
CDKN1A	4.502
CCND1	1.64
KIT	-3.92
SHC1	0.026
BRAF	-0.653
SOS1	-4.516
MAPK1	1.194
FGFR3	-2.187
MAP2K2	0.599
NOTCH1	2.395
RB1	-2.269
MET	4.881
E2F2	4.382
CDK2	-1.506
SMAD4	1.476
NOTCH1	-1.107
BRAF	-0.535
FOS	3.71
E2F2	3.221
VHL	2.704
IL6	-3.91
APC	-1.454
NFKB1	1.735
PTEN	0.95
CDH1	3.845
FGFR3	-1.774
CDK4	1.172
NFKB1	3.869
KIT	-1.476
CDKN1B	-2.874
FOS	-0.277
HIF1A	2.348
TNF	1.705
SRC	-0.616
VEGFA	-4.029
RB1	2.875
BRAF	-3.088
TERT	4.229
REL	4.671
NOTCH1	-4.202
BRAF	-2.82
NRAS	4.891
FGFR3	-3.403
CDK6	-4.38
GATA3	-2.154
JAK2	-2.958
CDK2	1.655
MDM2	-2.526
BRAF	3.503
KRAS	3.139
BRAF	-3.631
VHL	2.856
E2F1	1.304
TNF	4.241
MAPK1	3.32
RB1	-0.571
MAPK3	-1.966
E2F2	3.063
NFKB1	-2.628
VHL	-0.76
JAK2	1.093
CDKN1B	-2.855
PTEN	-1.443
HRAS	0.966
MAP2K2	4.225
BRCA1	-1.394
CDK2	1.842
CDKN2A	-1.363
PIK3CA	4.905
SHC1	4.006
BRAF	1.411
MKI67	-4.121
CDKN2A	4.405
GRB2	1.238
ABL1	-2.514
MAP2K1	3.839
CDKN1B	0.991
TERT	4.764
SHC1	1.678
MAP2K2	-1.239
MAPK3	-3.738
FGFR2	-1.608
CDH1	0.227
PDGFRA	-4.625
CCND1	0.166
SYK	-3.738
CDKN2A	0.961
PCNA	-4.281
MDM2	4.786
TNF	-3.235
MAP2K1	-1.322
E2F2	-0.152
JAK2	0.529
HRAS	-1.189
CXCL8	1.709
JUN	-1.349
SRC	-2.298
FGFR3	1.509
ERBB2	3.125
MAPK1	3.669
FGFR3	4.417
TNF	3.54
JAK2	0.708
NRAS	-0.045
PCNA	0.295
JAK2	0.693
CDH1	-0.722
PDGFRA	1.719
HRAS	-4.728
MET	-3.783
HRAS	-2.363
PIK3CA	-4.837
MET	1.741
AKT1	2.018
JUN	-0.703
SOS1	3.487
MAPK3	1.13
ABL1	2.366
CCND1	-1.794
VHL	-4.814
HRAS	-4.251
CDKN1A	4.185
CXCL8	-0.624
JAK2	2.331
CDK2	4.031
CDK2	-2.673
E2F2	4.607
MAP2K2	-2.191
RB1	-1.51
FGFR2	-1.67
MAP2K1	-2.451
PDGFRA	-4.493
HRAS	-3.764
ABL1	2.044
RB1	-3.108
REL	3.393
NOTCH1	4.389
HIF1A	-0.008
GATA3	4.963
GRB2	-1.205
IL6	-2.9
AKT1	-3.967
FOS	-4.339
NFKB1	3.152
HIF1A	4.297
SRC	-0.544
FOS	-3.872
SOS1	4.598
MKI67	4.454
LCK	0.471
LCK	3.577
MKI67	4.502
IL10	0.817
CDKN2A	0.603
MAP2K2	1.507
CDK2	4.575
MYC	2.229
CCNE1	0.915
ERBB2	-0.162
E2F2	1.098
AKT1	0.887
MDM2	2.46
SYK	-2.72
IL6	-1.28
NFKB1	3.916
SRC	0.002
MDM2	-1.898
IL10	-4.687
CDK4	3.39
BRCA1	2.074
MAP2K2	-0.209
IL6	-1.09
GRB2	3.469
PIK3CA	-1.614
TERT	4.956
MAP2K2	-2.227
BRAF	-2.974
JUN	-2.749
BRCA1	-2.195
SHC1	0.609
NRAS	-0.399
ABL1	-3.135
STAT3	-1.816
NOTCH1	0.23
TERT	1.142
SMAD4	3.045
CDK4	4.591
CDH1	2.806
STAT3	-2.774
RAF1	-1.707
KRAS	1.427
PIK3CA	4.774
SRC	4.276
CCNE1	-4.794
PTEN	-4.573
NRAS	-4.857
CCND1	1.065
TERT	-4.378
CDK6	1.337
MDM2	1.706
ABL1	-4.038
FGFR2	0.494
CDKN1A	2.648
NOTCH1	4.601
GATA3	-4.972
PTEN	4.806
FGFR3	-3.78
CDKN1A	-0.352
APC	-1.559
JUN	-4.623
APC	4.837
SMAD4	-3.727
RB1	-4.845
MAP2K2	-3.986
CCND1	3.728
REL	0.962
SRC	-2.26
KRAS	-3.463
STAT3	4.744
SRC	1.541
IL6	0.02
TNF	0.239
CDK2	-0.987
KIT	-2.989
FGFR3	-4.534
PTEN	0.844
CDK2	-1.013
GRB2	1.158
NFKB1	1.857
MYC	-1.207
ERBB2	-1.055
CDK2	-2.72
MAP2K2	3.456
CCNE1	-4.205
PCNA	1.002
ABL1	1.31
CDK4	3.232
CDK2	0.902
CXCL8	-1.036
HIF1A	2.97
VHL	-3.247
MAP2K1	2.846
GATA3	-2.982
SHC1	-2.005
AKT1	-2.355
CDK6	0.706
MAP2K1	4.57
FGFR1	-2.135
LCK	-0.647
TP53	-0.986
GATA3	-3.04
CCND1	-0.854
E2F2	1.874
SRC	2.752
REL	-0.638
BRAF	3.803
BRCA1	-4.524
REL	-4.732
VHL	-1.126
IL10	-0.999
MYC	-3.993
EGFR	-4.155
FGFR1	-4.077
SOS1	3.519
AKT1	-2.819
CDK2	-0.272
VEGFA	-0.981
FOS	2.37
FGFR1	0.053
CXCL8	3.303
MAPK1	-3.204
FGFR1	0.33
MAP2K1	1.021
TP53	-0.091
REL	-1.054
ABL1	-1.687
IL10	3.961
HRAS	0.078
MDM2	4.483
CXCL8	-4.408
CDK2	-0.858
VHL	1.982
MYC	-3.706
AKT1	3.99
CDKN2A	-3.55
LCK	-4.097
PDGFRA	0.547
KRAS	3.88
SRC	3.737
FGFR1	-2.13
MDM2	0.326
LCK	-4.792
CDK2	2.438
ABL1	4.715
CDK4	-2.933
STAT3	3.946
JAK2	2.724
BRAF	3.763
FGFR3	-3.982
CDKN1B	4.312
STAT3	1.527
RB1	-4.956
BRCA2	-4.401
MAPK1	1.907
VEGFA	1.431
CDK4	-3.883
CCND1	-1.806
KIT	4.269
RAF1	-0.872
CDH1	2.306
SOS1	1.496
KIT	3.393
MKI67	-0.695
NOTCH1	-0.353
NFKB1	3.007
HIF1A	0.847
PTEN	-1.583
SYK	0.781
MKI67	2.197
MAP2K2	1.897
PDGFRA	-0.538
PIK3CA	1.624
LCK	2.698
E2F2	-0.183
CXCL8	-3.934
EGFR	-1.587
SYK	-3.67
SRC	-3.696
STAT3	-2.306
EGFR	-1.175
CDKN1B	1.842
CDKN1A	3.479
NOTCH1	-1.709
EGFR	0.658
BRCA2	-2.002
STAT3	3.897
FOS	1.712
BRCA1	-1.804
GATA3	-1.758
PIK3CA	2.378
CDKN2A	3.996
CDKN1B	-4.872
LCK	0.712
CCNE1	-1.459
CCNE1	4.519
KRAS	-3.456
GRB2	2.66
STAT3	3.804
NRAS	1.403
SRC	3.648
SMAD4	-3.174
FGFR3	-2.817
FGFR2	3.126
PDGFRA	3.576
SHC1	4.676
SYK	-3.887
KRAS	-1.725
CDK2	-3.463
CDKN1A	1.056
STAT3	-3.228
IL10	-2.947
FOS	3.364
ABL1	-1.307
RAF1	4.66
SYK	2.812
TERT	-4.678
E2F2	-4.688
CDKN2A	2.393
APC	0.582
ABL1	-4.864
IL6	-0.315
MAP2K2	-3.873
SYK	-0.28
NRAS	1.051
AKT1	-4.215
LCK	-3.111
CDKN1A	3.699
PTEN	-0.18
MDM2	-3.279
SMAD4	-1.358
CDK6	1.801
ABL1	2.797
SRC	0.168
NOTCH1	3.028
PDGFRA	-1.802
FOS	-0.115
BRAF	-2.74
JAK2	4.721
REL	3.713
CDK6	-2.156
MET	4.384
E2F2	-4.795
CDK2	-4.439
RB1	-0.682
ABL1	0.254
JAK2	-1.569
VHL	-4.991
MAP2K2	-4.145
GRB2	3.468
TP53	3.393
SRC	3.043
EGFR	-2.933
AKT1	0.491
CDK6	-1.824
MAP2K2	-4.631
CDK6	3.932
MYC	0.883
CDK4	2.643
CDKN2A	3.505
CDKN2A	1.75
MAP2K2	1.358
ERBB2	-2.881
NRAS	-0.427
REL	-1.359
PCNA	3.057
KRAS	4.662
MET	-0.16
E2F1	-2.685
TP53	-1.99
HIF1A	-2.001
HRAS	2.233
NRAS	-4.808
BRCA2	4.697
MKI67	-1.869
CXCL8	-2.34
PTEN	-1.431
HRAS	-4.804
RAF1	4.517
CDK6	1.089
GRB2	1.069
ABL1	3.076
KIT	-2.128
GATA3	3.606
BRAF	-3.414
MAPK3	-2.726
BRCA2	4.966
KRAS	-0.33
LCK	3.321
IL10	-0.159
JAK2	-2.359
CCNE1	3.299
IL6	-3.831
MAP2K2	-3.951
FGFR1	2.919
MET	-3.475
TERT	-2.904
ERBB2	1.497
IL6	2.9
FGFR2	4.533
BRAF	-3.618
CDKN1A	2.692
GATA3	-0.175
NRAS	-5.0
STAT3	-1.265
JAK2	-4.387
HRAS	1.818
MDM2	1.461
KRAS	-2.979
TERT	0.366
VHL	-1.635
KIT	-4.511
IL10	-1.551
TERT	-3.35
CCND1	1.378
E2F2	2.178
PCNA	2.601
CDH1	3.053
TNF	3.114
APC	-3.755
FGFR2	-0.365
SMAD4	1.468
PDGFRA	-4.522
JAK2	4.374
AKT1	-0.522
HIF1A	-3.21
MAP2K2	-2.741
CDKN2A	-3.445
PIK3CA	-0.567
NFKB1	0.723
PTEN	-2.217
CDH1	-0.949
KRAS	2.388
TNF	0.371
IL6	-4.986
RAF1	0.281
VHL	4.936
IL6	0.407
TERT	2.251
GATA3	3.967
SRC	3.98
ABL1	0.32
RB1	-2.561
E2F1	0.346
LCK	-1.442
CCNE1	-1.576
BRAF	-3.023
CDK6	-3.848
RAF1	-4.5
FOS	2.141
KIT	2.208
SOS1	-4.57
ABL1	2.231
VEGFA	-2.85
PDGFRA	-4.464
SYK	0.146
FGFR1	1.429
CDKN2A	2.066
CDKN1B	2.578
MAP2K1	1.013
PCNA	4.579
NFKB1	3.919
RAF1	0.744
RB1	-0.866
